video_id,trending_date,channel_title,category_id,publish_time,views,likes,dislikes,comment_count,comments_disabled,ratings_disabled,category_name
YVfyYrEmzgM,14-11-17,TED-Ed,27,13-11-17 16:00,78044,5398,53,385,0,0,Education
eNSN6qet1kE,14-11-17,PeterSripol,28,13-11-17 15:30,97007,11963,36,2211,0,0,Science & Technology
B5HORANmzHw,14-11-17,SciShow,27,12-11-17 22:00,223871,8421,191,1214,0,0,Education
vU14JY3x81A,14-11-17,Life Noggin,27,13-11-17 14:00,115791,9586,75,2800,0,0,Education
6VhU_T463sU,14-11-17,Tested,28,12-11-17 15:00,224019,3585,138,208,0,0,Science & Technology
_-aDHxoblr4,14-11-17,Tom Scott,27,13-11-17 16:00,144418,11758,89,1014,0,0,Education
JBZTZZAcFTw,14-11-17,Refinery29,26,12-11-17 16:00,145921,1707,578,673,0,0,How to & Style
lZ68j2J_GOM,14-11-17,Gus Johnson,23,13-11-17 14:44,33980,4884,52,234,0,0,Comedy
dRpNZV18N_g,14-11-17,HellthyJunkFood,24,12-11-17 14:00,223077,8676,193,1392,0,0,Entertainment
fcVjitaM3LY,14-11-17,Numberphile,28,13-11-17 12:13,80705,4687,41,437,0,0,Science & Technology
qeWvgZLz9yU,14-11-17,JerryRigEverything,26,13-11-17 16:00,120727,9033,224,1346,0,0,How to & Style
iIxy3JN3-jc,14-11-17,Cleveland Cavaliers on cleveland.com,25,13-11-17 15:42,27943,156,36,83,0,0,News & Politics
n30k5CwLhS4,14-11-17,FaeryInLoveInc,1,29-05-11 17:03,50867,715,238,246,0,0,Film & Animation
U0hAC8O7RoI,14-11-17,hp_overload,2,13-11-17 1:43,98378,4035,495,486,0,0,Autos & Vehicles
CBVGjS_EJok,14-11-17,Amazon.co.uk,24,06-11-17 17:52,26000,119,69,0,1,0,Entertainment
n1WpP7iowLc,14-11-17,EminemVEVO,10,10-11-17 17:00,17158531,787419,43420,125882,0,0,Music
hz7ukDjuq4w,14-11-17,officer401,24,12-11-17 23:41,67661,3781,84,626,0,0,Entertainment
p2hJxyF7mok,14-11-17,Emirates,19,12-11-17 5:55,141148,1661,70,236,0,0,Travel & Events
0mlNzVSJrT0,14-11-17,Nobrand,22,21-04-17 6:47,98966,2486,184,532,0,0,People & Blogs
Om_zGhJLZ5U,14-11-17,Screen Junkies,1,12-11-17 18:00,288922,7515,792,2111,0,0,Film & Animation
e_7zHm7GsYc,14-11-17,Hunter Hayes,10,13-11-17 15:01,13917,1318,24,76,0,0,Music
dQvIbulWCM4,14-11-17,Niki and Gabi,23,12-11-17 23:41,605932,38397,1387,3412,0,0,Comedy
zZ9FciUx6gs,14-11-17,Nickelback,10,13-11-17 15:31,57169,6927,161,565,0,0,Music
PaJCFHXcWmM,14-11-17,U2VEVO,10,13-11-17 17:00,60506,5389,106,455,0,0,Music
goP4Z5wyOlM,14-11-17,BBC News,25,12-11-17 21:16,34785,308,26,413,0,0,News & Politics
NZFhMSgbKKM,14-11-17,Ben Rohrbach,17,13-11-17 15:11,945,7,5,8,0,0,Sports
0tO_l_Ed5Rs,14-11-17,MatthewSantoro,10,11-11-17 16:00,328330,15186,15448,7484,0,0,Music
STI2fI7sKMo,14-11-17,Shawn Johnson East,22,11-11-17 15:00,321053,4451,1772,895,0,0,People & Blogs
BWPrk9PUwQE,14-11-17,dope2111,26,12-11-17 0:45,1456472,33505,1660,2160,0,0,How to & Style
ogYum4kWXgk,14-11-17,People are Awesome,24,13-11-17 13:00,69844,3417,33,160,0,0,Entertainment
zNqCVTs38nU,14-11-17,D3sports.com,17,13-11-17 2:15,4569,35,18,19,0,0,Sports
DM-ni_LSOFE,14-11-17,FBE,24,10-11-17 23:05,2045386,45406,2842,8309,0,0,Entertainment
0PpNlNJ6Nng,14-11-17,Simply Nailogical,24,11-11-17 19:03,1842393,99086,1339,11800,0,0,Entertainment
c-3JxzN2u34,14-11-17,CBS Sunday Morning,25,12-11-17 15:05,6473,205,6,15,0,0,News & Politics
069D0NmW39o,14-11-17,WWE,17,11-11-17 15:00,1044813,15397,838,1100,0,0,Sports
9t9u_yPEidY,14-11-17,JenniferLopezVEVO,10,10-11-17 15:00,9548677,190083,15015,11473,0,0,Music
KODzih-pYlU,14-11-17,Grace Helbig,22,11-11-17 18:08,197062,7250,217,456,0,0,People & Blogs
8NHA23f7LvU,14-11-17,The Graham Norton Show,24,10-11-17 19:06,1496225,16116,236,605,0,0,Entertainment
w0XYVssCKjw,14-11-17,Kevin Durant,17,11-11-17 20:00,162597,5734,106,525,0,0,Sports
9XSULcLI6Hg,14-11-17,JimBrowski 96HourNews,25,12-11-17 15:24,9132,21,8,64,0,0,News & Politics
pjuPpVLXDQg,14-11-17,ViralHog,2,13-11-17 0:46,7265,89,8,22,0,0,Autos & Vehicles
9xSx-5tmq44,14-11-17,Jeremy Jahns,24,11-11-17 6:34,291597,8209,344,1062,0,0,Entertainment
4v0nOAzcG2A,14-11-17,Jonathan Morrison,28,11-11-17 15:38,290801,10237,377,1016,0,0,Science & Technology
oTObwUiXdYY,14-11-17,TIME,25,13-11-17 15:44,5304,52,13,68,0,0,News & Politics
1cgK-BIrXes,14-11-17,YouTube Spotlight,24,10-11-17 15:07,812516,26917,1979,4998,0,0,Entertainment
ujyTQNNjjDU,14-11-17,GEazyMusicVEVO,10,10-11-17 5:00,2642930,115795,3055,6410,0,0,Music
PABlVzeldaM,14-11-17,U.S. Navy,25,12-11-17 13:13,105058,493,54,347,0,0,News & Politics
6340tX9M_eM,14-11-17,IGN,24,10-11-17 19:00,537715,8231,413,970,0,0,Entertainment
8mhTWqWlQzU,14-11-17,Safiya Nygaard,22,11-11-17 1:19,2744430,115426,1110,6541,0,0,People & Blogs
t4YAyT4ihIQ,14-11-17,Lele Pons,23,10-11-17 18:30,3358068,120876,8279,6408,0,0,Comedy
MNiweoKXwfg,14-11-17,INSIDER,24,13-11-17 17:00,4732,203,6,33,0,0,Entertainment
Jw1Y-zhQURU,14-11-17,John Lewis,26,10-11-17 7:38,7224515,55681,10247,9479,0,0,How to & Style
2Vv-BfVoq4g,14-11-17,Ed Sheeran,10,09-11-17 11:04,33523622,1634124,21082,85067,0,0,Music
UFYCTJlayS4,14-11-17,Sara Dietschy,1,11-11-17 3:56,52591,2233,187,255,0,0,Film & Animation
cccyOn99s4Y,14-11-17,MeganBatoon,24,10-11-17 23:00,75822,2978,147,243,0,0,Entertainment
abGCYPCk294,14-11-17,John Campea,24,11-11-17 17:55,43715,1550,109,1031,0,0,Entertainment
lY_0mkYDZDU,14-11-17,fosterthepeopleVEVO,10,10-11-17 17:00,303956,18603,585,1745,0,0,Music
k8NxqyGcZA4,14-11-17,Watch What Happens Live with Andy Cohen,24,10-11-17 12:59,238643,2429,5381,2325,0,0,Entertainment
IE-xepGLVt8,14-11-17,Mayo Clinic,28,10-11-17 12:04,237307,1896,74,260,0,0,Science & Technology
ObIQ0s02UHg,14-11-17,Jason Derulo,10,10-11-17 14:40,1282413,37669,1732,1691,0,0,Music
cOc3tsFWoRs,14-11-17,The Late Late Show with James Corden,24,10-11-17 9:35,1497519,15504,353,1084,0,0,Entertainment
AJYb0Yom5UQ,14-11-17,cocheusadoooo,23,17-10-17 20:01,148226,355,47,178,0,0,Comedy
gLswXiRLdkA,14-11-17,Amber Scholl,26,11-11-17 2:42,484185,23296,1184,1858,0,0,How to & Style
MyEqfBkzESU,14-11-17,John Maclean,26,10-11-17 20:40,300617,8133,2693,2911,0,0,How to & Style
wJYE0sFOteE,14-11-17,Bon App̩tit,26,10-11-17 16:01,92523,2323,40,134,0,0,How to & Style
L_5_slz4ke4,14-11-17,ABC News,25,12-11-17 20:26,7524,67,19,56,0,0,News & Politics
OKoL852K9uA,14-11-17,mayratouchofglam,26,11-11-17 5:23,103927,3571,278,399,0,0,How to & Style
pa_oUisZZy0,14-11-17,BuzzFeed Celeb,22,11-11-17 0:30,177707,6271,88,275,0,0,People & Blogs
fNtLIcyjsnI,14-11-17,Zero Media,1,09-11-17 17:11,1751064,16430,945,1231,0,0,Film & Animation
_Iz83-Cmt6A,14-11-17,CMAVEVO,10,09-11-17 22:23,46746,439,66,55,0,0,Music
YlvCVbfS9M0,14-11-17,Alan Walker,10,11-11-17 15:11,746092,34839,537,2541,0,0,Music
arJ5h2TY3I4,14-11-17,SUPERFRUIT,24,10-11-17 17:00,836830,82320,1279,7998,0,0,Entertainment
-2RVw2_QyxQ,14-11-17,Saint Louis Chess Club,27,12-11-17 2:39,67429,438,23,23,0,0,Education
gEHCXl4J9Qo,14-11-17,ABC Television Network,24,10-11-17 2:32,2237404,72593,1830,3501,0,0,Entertainment
,14-11-17,Animal Adventure Park,15,12-11-17 0:18,45455,2282,35,17,0,0,Pets & Animals
b4vTZx_AtHk,14-11-17,HowToBasic,26,09-11-17 18:36,2063667,98804,11682,11443,0,0,How to & Style
kOnQocd799Y,14-11-17,CinemaSins,1,09-11-17 17:14,2736733,58967,3492,7915,0,0,Film & Animation
e4FApt6z55c,14-11-17,kimbramusic,10,10-11-17 15:43,165698,8599,361,930,0,0,Music
2XK4omx9uMU,14-11-17,Capital FM,10,10-11-17 14:40,836544,40195,373,976,0,0,Music
xfmipNU4Odc,14-11-17,Hope For Paws - Official Rescue Channel,15,10-11-17 18:02,284666,16396,81,949,0,0,Pets & Animals
jp9hK-jY6yY,14-11-17,IISuperwomanII,23,09-11-17 22:21,3371669,202676,3394,20086,0,0,Comedy
RkHuWjiR-LM,14-11-17,Hopeless Records,10,10-11-17 18:03,195685,14338,171,1070,0,0,Music
fCTKDn3Q8xQ,14-11-17,Rachel and Jun,22,09-11-17 11:24,1098897,43875,1326,4702,0,0,People & Blogs
DIU3xPdhCBI,14-11-17,BBC Music,10,09-11-17 22:26,893462,22326,833,943,0,0,Music
wnwF1FHybDQ,14-11-17,Late Night with Seth Meyers,23,10-11-17 11:00,225286,1731,193,206,0,0,Comedy
9oFP-pOMNwE,14-11-17,H&M,24,09-11-17 8:01,264793,3283,853,0,1,0,Entertainment
pz95u3UVpaM,14-11-17,CamilaCabelloVEVO,10,10-11-17 5:01,5476737,286268,4083,12254,0,0,Music
g5c1bk8weaQ,14-11-17,Liza Koshy,23,10-11-17 3:43,3578502,307435,2573,12248,0,0,Comedy
yuBqWcSKrCk,14-11-17,TheEllenShow,24,10-11-17 14:00,304926,3305,130,275,0,0,Entertainment
x9mh-SwSKas,14-11-17,clothesencounters,26,10-11-17 18:42,247319,10138,153,639,0,0,How to & Style
uiA4B5Y63IQ,14-11-17,FoxSearchlight,1,09-11-17 22:00,296434,3327,142,377,0,0,Film & Animation
viyRD5z6ilQ,14-11-17,LukeBryanVEVO,10,10-11-17 5:00,125962,5048,139,369,0,0,Music
QFfEtKvXMAs,14-11-17,NiallHoranVEVO,10,10-11-17 17:00,419341,53572,168,3083,0,0,Music
xg9ebVTL9yE,14-11-17,empireofthesunvevo,10,10-11-17 5:00,138988,7999,84,612,0,0,Music
fbHbTBP_u7U,14-11-17,NFVEVO,10,09-11-17 5:00,1774018,88417,1002,7686,0,0,Music
Ja_GMU7-sjs,14-11-17,Marques Brownlee,28,09-11-17 21:18,1575525,52829,1524,5864,0,0,Science & Technology
QOksZ8VogRw,14-11-17,Atlantic Records,10,09-11-17 17:03,626688,25115,499,1392,0,0,Music
RYs08kX3Ih4,14-11-17,MsAaliyahJay,26,10-11-17 1:30,219030,14303,398,1099,0,0,How to & Style
tOFkFZbPdnQ,14-11-17,Danny Sapko,10,09-11-17 0:44,493662,7693,181,388,0,0,Music
dW4wpGg64pE,14-11-17,Vogue,24,09-11-17 18:20,1017803,25122,628,1504,0,0,Entertainment
2VP846QcA_4,14-11-17,Michelle Khare,24,09-11-17 11:30,139955,4417,217,457,0,0,Entertainment
_dhneCO4YEE,14-11-17,Full Frontal with Samantha Bee,22,09-11-17 7:00,362009,5505,2356,1264,0,0,People & Blogs
EYkEshCOhEU,14-11-17,Nicole Guerriero,22,10-11-17 0:24,294387,15247,385,976,0,0,People & Blogs
Rq9-mW6HgQE,14-11-17,The Late Show with Stephen Colbert,24,09-11-17 8:35,844653,11616,313,1518,0,0,Entertainment
k29YnfttqEU,14-11-17,Jimmy Kimmel Live,23,09-11-17 4:58,1315873,9312,584,769,0,0,Comedy
Eg_kW5fw6qU,14-11-17,SuperCarlinBrothers,22,09-11-17 23:27,188003,9091,135,2814,0,0,People & Blogs
J_QGZspO4gg,14-11-17,SiaVEVO,10,09-11-17 15:45,1624771,84426,1130,5981,0,0,Music
PkRBTF6nt4E,14-11-17,Business Insider,25,10-11-17 13:00,125970,935,507,262,0,0,News & Politics
ozkqm2ifMw8,14-11-17,2CELLOS,10,10-11-17 13:24,205869,11198,120,446,0,0,Music
htvR_dBs3eg,14-11-17,theneedledrop,10,10-11-17 21:38,98422,2926,106,798,0,0,Music
qEEtzzi1EII,14-11-17,Simon's Cat,15,09-11-17 13:34,426078,19323,245,945,0,0,Pets & Animals
1Wk8ZRgXQnY,14-11-17,Andy Grammer,10,09-11-17 22:27,33315,1365,24,91,0,0,Music
8l_e6bx8UG8,14-11-17,RemyMaVEVO,10,08-11-17 17:00,1231518,32648,6221,9288,0,0,Music
lsfzA7sWlOM,14-11-17,Nintendo,20,09-11-17 19:59,154872,7683,164,1734,0,0,Gaming
RQDphL2MVlM,14-11-17,Dina Tokio,26,10-11-17 22:22,72626,3652,120,219,0,0,How to & Style
X7flefV8tec,14-11-17,Team Coco,24,09-11-17 2:37,366180,4364,4448,1997,0,0,Entertainment
cYw-oyJ7AEY,14-11-17,PitbullVEVO,10,10-11-17 8:00,264511,11736,532,743,0,0,Music
6nJw-jPQYVI,14-11-17,Late Show with David Letterman,24,21-05-15 7:55,192609,1345,24,126,0,0,Entertainment
5x1FAiIq_pQ,14-11-17,Alicia Keys,10,09-11-17 15:49,95944,1354,181,117,0,0,Music
LMCuKltaY3M,14-11-17,ElbowVEVO,10,10-11-17 8:00,154494,2163,147,211,0,0,Music
6Detw08jRhs,14-11-17,MDNA SKIN,22,09-11-17 18:24,53321,443,131,106,0,0,People & Blogs
vd4zwINEcLY,14-11-17,poofables,24,27-03-11 4:31,95085,909,52,193,0,0,Entertainment
7fm7mll2qvg,14-11-17,SigridVEVO,10,10-11-17 0:00,91776,4604,46,357,0,0,Music
5gFpcEKayz4,14-11-17,MOMOMOYOUTHVEVO,10,09-11-17 9:00,764716,35765,483,1159,0,0,Music
eHIY3HNNqzM,14-11-17,TheScriptVEVO,10,10-11-17 8:00,135337,7158,89,318,0,0,Music
q-WipZ9p0wk,14-11-17,Brothers Green Eats,26,09-11-17 14:00,77630,1991,83,208,0,0,How to & Style
zy0b9e40tK8,14-11-17,Netflix,24,09-11-17 9:00,378750,5642,146,675,0,0,Entertainment
rL4WkebTT_U,14-11-17,Abroad in Japan,24,09-11-17 15:06,151709,9210,71,1103,0,0,Entertainment
Y6eKxjMA9ek,14-11-17,Tucker Gott,24,09-11-17 16:00,175852,15909,200,852,0,0,Entertainment
Q6Usd3_fbq8,14-11-17,Nahre Sol,10,10-11-17 4:08,5149,242,0,54,0,0,Music
44NYFvhXmW8,14-11-17,ThirtySecondsToMarsVEVO,10,08-11-17 13:00,1905487,65854,2442,4490,0,0,Music
9wg3v-01yKQ,14-11-17,HarryStylesVEVO,10,08-11-17 13:00,9632678,810895,16139,59473,0,0,Music
F-j_6IuaYfw,14-11-17,Wong Fu Productions,24,08-11-17 21:05,476389,16106,950,2077,0,0,Entertainment
_qSW96a2aKY,14-11-17,Keith Urban,24,08-11-17 5:01,754558,11985,1356,1757,0,0,Entertainment
afgvlR9WmIQ,14-11-17,Maroon5VEVO,10,09-11-17 2:21,762616,20159,336,899,0,0,Music
_CJN_ryETIY,14-11-17,X Factor Italia,24,09-11-17 23:59,199429,10175,66,539,0,0,Entertainment
P4YJwy_T9pM,14-11-17,Tyler Williams,22,09-11-17 3:16,691229,31892,197,1404,0,0,People & Blogs
YqH4eWR7jDQ,14-11-17,Stewart Brand,27,10-06-12 19:24,6412,49,0,2,0,0,Education
r96KpNTcog4,14-11-17,Chris and Jack,23,09-11-17 14:00,108618,4989,58,274,0,0,Comedy
B4gXsobd_ao,14-11-17,The School of Life,27,09-11-17 14:00,79306,3809,127,670,0,0,Education
x8eLIJAM58M,14-11-17,E! Entertainment,24,08-11-17 14:00,812007,5894,951,851,0,0,Entertainment
6V_aZsATDsM,14-11-17,Whitney Port,26,09-11-17 17:22,55398,1170,22,336,0,0,How to & Style
qg0GdM60syI,14-11-17,90s Commercials,27,31-03-17 21:46,773,2,0,0,0,0,Education
8j_BYfVEyhA,14-11-17,Breakfast Club Power 105.1 FM,24,08-11-17 13:34,581288,5075,725,1780,0,0,Entertainment
9ymjcSvEyhk,14-11-17,Enter Shikari,10,09-11-17 14:00,99619,3959,158,335,0,0,Music
oB3SAI2oCqk,14-11-17,Caterham Cars,2,09-11-17 9:59,4850,22,1,1,0,0,Autos & Vehicles
HNa_UWX51_s,14-11-17,PostmodernJukebox,10,09-11-17 18:46,226088,10844,302,555,0,0,Music
08nkwgZIE4I,14-11-17,PinkVEVO,10,08-11-17 22:04,651036,23338,442,1101,0,0,Music
5Smb3tZD1Qc,14-11-17,Tamar Chronicles,24,08-11-17 18:00,451356,3454,284,623,0,0,Entertainment
YHDbsyyjld0,14-11-17,Kitten Lady,15,09-11-17 23:44,46571,4250,16,408,0,0,Pets & Animals
uyl6WtHEYOQ,14-11-17,Guinness World Records,24,10-11-17 20:39,28539,681,25,45,0,0,Entertainment
bhoFXkVy8JA,14-11-17,Blockbuster,1,13-10-17 8:20,12609,40,79,17,0,0,Film & Animation
_w58R1OGQFA,14-11-17,TrainVEVO,10,09-11-17 15:00,30021,569,42,44,0,0,Music
BEweWXa5Twk,14-11-17,Christen Dominique,26,09-11-17 3:27,471266,23634,460,1714,0,0,How to & Style
egXr0PU-kCY,14-11-17,James Charles,24,08-11-17 22:17,1073134,47793,1886,5358,0,0,Entertainment
fIQ2Ty2OL34,14-11-17,FreeDawkins,17,10-11-17 4:00,18573,420,10,236,0,0,Sports
d_j512i2k6c,14-11-17,The Infographics Show,27,08-11-17 20:30,250193,5748,332,1197,0,0,Education
4d07RXYLsJE,14-11-17,Jenny Hanell,28,04-11-17 20:48,1827,3,0,2,0,0,Science & Technology
DOIw62TXYkg,14-11-17,PetaPixel,28,07-11-17 19:22,2457408,2707,200,209,0,0,Science & Technology
0lbJHqAGpbA,14-11-17,RM Videos,23,09-11-17 16:53,51143,258,5,10,0,0,Comedy
JuP1Z8xpRb8,14-11-17,BrianJustinCrum,24,09-11-17 17:01,27010,1666,36,150,0,0,Entertainment
CR9zYgr84QY,14-11-17,CupcakeJemma,26,09-11-17 18:30,122669,5723,55,263,0,0,How to & Style
1640fZpYBSY,14-11-17,Anaki Abo,22,07-11-17 18:54,358597,1211,72,593,0,0,People & Blogs
M2-IpsWQUWs,14-11-17,Katy Perry,24,09-11-17 19:11,56012,6243,106,414,0,0,Entertainment
7m630xvAJtA,14-11-17,I'm With Her,22,09-11-17 16:33,6148,121,3,19,0,0,People & Blogs
510KQ_LXGww,14-11-17,Zoella,26,08-11-17 18:24,1390440,86207,1775,710,0,0,How to & Style
CO9dIyNM_9Q,14-11-17,Storyful News,25,07-11-17 22:59,244532,633,174,765,0,0,News & Politics
hX643KbiI4s,14-11-17,Tu Fan,24,08-11-17 21:50,82087,998,93,289,0,0,Entertainment
mwpHSMv1pI4,14-11-17,MyHarto,23,09-11-17 1:27,359120,15130,223,1143,0,0,Comedy
Mfiim71QdYQ,14-11-17,Chicago Sun-Times,25,08-11-17 18:39,33768,426,88,550,0,0,News & Politics
UFPSIa1cLRQ,14-11-17,PhilPhillipsVEVO,10,09-11-17 5:00,38068,2195,28,154,0,0,Music
o78x918zbFk,14-11-17,Tati,26,08-11-17 18:00,1277364,56867,2148,25326,0,0,How to & Style
iNf6VErGDLI,14-11-17,Ozuna,10,08-11-17 14:00,1498866,67227,1473,4645,0,0,Music
6ixU_vdE0Es,14-11-17,Madelaine Petsch,22,08-11-17 22:13,280065,20289,38,939,0,0,People & Blogs
wRGldR_SQAA,14-11-17,Steve Kovach,22,09-11-17 18:01,2259,0,0,0,0,0,People & Blogs
agKDPntMv-E,14-11-17,ESPN,17,08-11-17 15:59,470191,4037,430,1553,0,0,Sports
Xl38SuxyrgM,14-11-17,LetsGoWarriors,17,09-11-17 7:27,16305,147,13,47,0,0,Sports
u7pV4vxD1bs,14-11-17,KSNV News 3 Las Vegas,25,08-11-17 20:16,169511,57,59,79,0,0,News & Politics
zYWt2mnalP8,14-11-17,Sailor J,24,08-11-17 0:03,160477,8388,691,950,0,0,Entertainment
PoNWU2cox9w,14-11-17,WIRED,2,08-11-17 15:00,704363,16352,224,841,0,0,Autos & Vehicles
6hTzM1BPdU8,14-11-17,HiHo Kids,22,08-11-17 21:00,130778,5684,53,737,0,0,People & Blogs
MCW5HUkrr-o,14-11-17,ElectroBOOM,28,08-11-17 17:16,560569,29990,341,1788,0,0,Science & Technology
YvfYK0EEhK4,15-11-17,Brent Pella,23,14-11-17 15:32,462490,14132,795,666,0,0,Comedy
cxMvzK2OQTw,15-11-17,Cards Against Humanity,23,14-11-17 16:43,295217,4854,1439,1267,0,0,Comedy
bAkEd8r7Nnw,15-11-17,The Slow Mo Guys,24,14-11-17 18:31,1525400,63995,896,4697,0,0,Entertainment
ItYOdWRo0JY,15-11-17,TechSmartt,28,14-11-17 0:45,1836419,28647,17815,7860,0,0,Science & Technology
5530I_pYjbo,15-11-17,JunsKitchen,26,14-11-17 12:06,977285,87615,391,5575,0,0,How to & Style
dUMH6DVYskc,15-11-17,Attaullah Malik,28,14-11-17 12:02,390964,3687,1273,1224,0,0,Science & Technology
gjXrm2Q-te4,15-11-17,The Tonight Show Starring Jimmy Fallon,23,14-11-17 4:55,1611093,58474,837,3294,0,0,Comedy
9SK1I0V6U5c,15-11-17,Anwar Jibawi,23,14-11-17 18:01,983365,60983,578,3837,0,0,Comedy
VsYmwBOYfW8,15-11-17,Jimmy Kimmel Live,23,14-11-17 8:30,2765121,35529,1705,2388,0,0,Comedy
kgaO45SyaO4,15-11-17,BostonDynamics,28,13-11-17 20:09,3701763,56561,2495,11608,0,0,Science & Technology
CtBca6H6Teg,15-11-17,Screen Junkies,1,14-11-17 18:00,829132,25109,316,3428,0,0,Film & Animation
pcWKpGzhgq4,15-11-17,The Graham Norton Show,24,14-11-17 12:13,391049,5939,106,385,0,0,Entertainment
L3br0klRqF4,15-11-17,Washington Post,25,14-11-17 21:51,137003,580,262,343,0,0,News & Politics
9kF9xY74h-E,15-11-17,Dolan Twins,23,14-11-17 21:00,891912,122347,455,7459,0,0,Comedy
p2EY93WfBQk,15-11-17,Jackie Aina,26,14-11-17 21:03,175539,17130,264,1747,0,0,How to & Style
xL_qpDkF5A8,15-11-17,TV Promos,24,15-11-17 1:25,14565,478,13,67,0,0,Entertainment
eQVhAN7-IAw,15-11-17,Taylor Swift,10,15-11-17 3:43,125645,16754,65,1373,0,0,Music
2kyS6SvSYSE,15-11-17,CaseyNeistat,22,13-11-17 17:13,2188590,88099,7150,24225,0,0,People & Blogs
Y9nDagqKL7Q,15-11-17,ProZD,1,13-11-17 20:47,394709,25188,281,1345,0,0,Film & Animation
DbJ2s_g1oDc,15-11-17,REACT,24,13-11-17 20:00,863116,20518,1030,4272,0,0,Entertainment
KJ12FVmumeA,15-11-17,ESPN,17,14-11-17 16:28,200235,1197,108,627,0,0,Sports
1ZAPwfrtAFY,15-11-17,LastWeekTonight,24,13-11-17 7:30,4632016,131784,9892,18284,0,0,Entertainment
qDAxDcjgn-8,15-11-17,theneedledrop,10,14-11-17 23:06,122426,6310,298,1624,0,0,Music
gHZ1Qz0KiKM,15-11-17,iJustine,28,13-11-17 19:07,758998,19138,2272,2873,0,0,Science & Technology
815lSYphlbw,15-11-17,First We Feast,26,14-11-17 16:00,145100,5198,74,657,0,0,How to & Style
jr9QtXwC9vc,15-11-17,20th Century Fox,1,13-11-17 14:00,2671756,12699,505,1010,0,0,Film & Animation
E_86MEdNsAI,15-11-17,Brian Hull,24,14-11-17 19:48,52743,4553,33,550,0,0,Entertainment
Cr9oGxr0Qa0,15-11-17,William Osman,28,14-11-17 14:00,121681,6095,61,731,0,0,Science & Technology
g0K5QoEj7FQ,15-11-17,Access Hollywood,24,14-11-17 22:34,11404,62,26,20,0,0,Entertainment
l4bAoNAx2uo,15-11-17,The Infographics Show,27,13-11-17 17:11,419965,9805,1337,5457,0,0,Education
TSqwDQHE1J8,15-11-17,Late Night with Seth Meyers,23,14-11-17 10:00,137749,1145,61,131,0,0,Comedy
puqaWrEC7tY,15-11-17,Good Mythical Morning,24,13-11-17 11:00,772235,15301,1229,3328,0,0,Entertainment
YVfyYrEmzgM,15-11-17,TED-Ed,27,13-11-17 16:00,297147,10410,110,665,0,0,Education
MltuW2kcREI,15-11-17,emma chamberlain,24,14-11-17 20:28,126438,12229,86,1865,0,0,Entertainment
5E4ZBSInqUU,15-11-17,marshmello,10,13-11-17 17:00,2285136,180284,3399,11700,0,0,Music
jGiqc3HSxEg,15-11-17,Now You See It,27,13-11-17 15:30,206319,11131,209,553,0,0,Education
XrDlDj9DfZs,15-11-17,Dancing With The Stars,24,14-11-17 6:08,60564,975,66,106,0,0,Entertainment
vU14JY3x81A,15-11-17,Life Noggin,27,13-11-17 14:00,373457,16433,194,5220,0,0,Education
5qpjK5DgCt4,15-11-17,Rudy Mancuso,23,12-11-17 19:05,4326684,167696,6730,9265,0,0,Comedy
Z3OZyb2iWqQ,15-11-17,TheEllenShow,24,14-11-17 14:00,137860,1950,64,136,0,0,Entertainment
